エッヂの名無し<>sage<>2026/03/21(土) 18:36:22.669 ID:VTUhkerbH<> 千葉県印西市の駅前一等地でデータセンター（DC）建設が計画され近隣住民が反対している問題について、藤代健吾市長は23日、オンラインでの定例会見で「法令に基づく民間業者による民間地での開発事業について認めないことはできない」と述べた。市は、事業主との開発事業の事前協議書を締結したといい、建設への事実上のゴーサインを出した形だ。<br><br>　予定地は北総線千葉ニュータウン中央駅の前。住民らから反対の声が出ているほか、藤代市長も異論を唱えてきた。<br><br>　市景観審議会が11月、市民が使えるオープンスペースの供出や地域住民との連携などの付帯意見を市長に答申。事業主は付帯意見について対応すると回答したという。<br><br>　これを受け、市は市の指導要綱に基づく事前協議書の締結のほか地区計画の適合通知を出した。藤代市長は会見で「現行のルールにのっとっている以上は我々としては認めざるを得ない」と述べ、事業主は住民への説明を続けてもらいたいと強調した。市は市独自の街づくりのルールについて検討している。<br>https://i.imgur.com/qf7DnlC.jpeg<br>https://i.imgur.com/geXoxbB.jpeg<br>https://i.imgur.com/DKbd8v2.jpeg<br>https://i.imgur.com/LyaVckz.jpeg <>【悲報】駅前にデータセンター建設、市長が「認めざるを得ない」と発言。住民「人が入れない施設を作っていいのか！」と反発も
エッヂの名無し<>sage<>2026/03/21(土) 18:36:40.276 ID:VTUhkerbH<> 賑やかな街やないと嫌なの！ <>
エッヂの名無し<>sage<>2026/03/21(土) 18:36:47.433 ID:VTUhkerbH<> 反対！ <>
エッヂの名無し<><>2026/03/21(土) 18:37:24.785 ID:ZJKOfzoL8<> 五月蝿いよりええやん <>
エッヂの名無し<><>2026/03/21(土) 18:37:29.393 ID:y.jEKAFcR<> データセンターってそんなに嫌なもんなんか<br>騒音とかあるの？ <>
エッヂの名無し<><>2026/03/21(土) 18:37:33.233 ID:oM9Yj7tle<> そりゃ嫌やろ <>
エッヂの名無し<>sage<>2026/03/21(土) 18:37:43.855 ID:VTUhkerbH<> 認めない！ <>
エッヂの名無し<><>2026/03/21(土) 18:38:00.591 ID:dg83f69hJ<> いうほど嫌か? <>
エッヂの名無し<><>2026/03/21(土) 18:38:12.687 ID:OzPOEt/ia<> まあ空き地よりはマシやないか？ <>
エッヂの名無し<><>2026/03/21(土) 18:38:23.471 ID:qEE0EwPQl<> &gt;&gt;5<br>駅前にはいらんわな <>
エッヂの名無し<><>2026/03/21(土) 18:38:32.162 ID:VeFfn4wvh<> もうすでにクソでかいやつ建ってるよな　ビッグホップの横に <>
エッヂの名無し<><>2026/03/21(土) 18:38:33.868 ID:CLsJk6XJh<> 地価は下がるやろな <>
エッヂの名無し<><>2026/03/21(土) 18:38:35.181 ID:wsWwrHobs<> データセンターやメガソーラーって原発と違ってリスクはないけど恩恵がないタイプのNIMBYだよな<br>どこかには必要だけど自分とこに来てもらっても恩恵がないのでうざい <>
エッヂの名無し<><>2026/03/21(土) 18:38:37.795 ID:nPjvEdqtc<> 死にかけのジジイが資産価値とか気にすんな <>
エッヂの名無し<><>2026/03/21(土) 18:38:43.685 ID:vwnl0MxCK<> 受け入れないと過疎の一途だろ<br>千葉ニューなんかマジで何もない <>
エッヂの名無し<>sage<>2026/03/21(土) 18:38:45.975 ID:VTUhkerbH<> 家族がいて…子供たちが公園で遊んで…緑があって… <>
